order,texts,corpus,Unnamed: 0,number,texts_count
12.0,"""Hey Google, help.""",Corpus3,,,
13.0,"""Hey Google, broadcast 'wake everybody up'.""",Corpus3,,,
14.0,"""Hey Google, How do you solve this problem?""",Corpus3,,,
15.0,"""Hey Google, raise the temperature three degrees.""",Corpus3,,,
16.0,"""Hey Google, stop the music.""",Corpus3,,,
17.0,"""Hey Google, read a bedtime story.""",Corpus3,,,
18.0,"""Hey Google, add apples to my shopping list.""",Corpus3,,,
19.0,"""Hey Google, what does an elephant sound like?""",Corpus3,,,
20.0,"""Hey Google, broadcast 'the football is about to start.""",Corpus3,,,
1.0,"""Hey Google, stop the music.""",Corpus4,,,
2.0,"""Hey Google, how many calories are in a Banana?""",Corpus4,,,
3.0,"""Hey Google, play some music.""",Corpus4,,,
4.0,"""Hey Google, flip a coin.""",Corpus4,,,
5.0,"""Hey Google, what are my reminders for this week?""",Corpus4,,,
6.0,"""Hey Google, what's the temperature right now?""",Corpus4,,,
7.0,"""Hey Google, show me the backdoor camera.""",Corpus4,,,
8.0,"""Hey Google, set alarm for 8 AM tomorrow.""",Corpus4,,,
9.0,"""Hey Google, when is it going to rain?""",Corpus4,,,
10.0,"""Hey Google, turn the living room lights to blue""",Corpus4,,,
11.0,"""Hey Google, snooze the alarm.""",Corpus4,,,
12.0,"""Hey Google, broadcast 'time to leave for school'.""",Corpus4,,,
13.0,"""Hey Google, stop.""",Corpus4,,,
14.0,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Corpus4,,,
15.0,"""Hey Google, play some music from Spotify.""",Corpus4,,,
16.0,"""Hey Google, add apples to my shopping list.""",Corpus4,,,
17.0,"""Hey Google, read Women and Power.""",Corpus4,,,
18.0,"""Hey Google, when is Walmart open until?""",Corpus4,,,
19.0,"""Hey Google, turn up the sound.""",Corpus4,,,
20.0,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Corpus4,,,
1.0,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",Corpus5,,,
2.0,"""Hey Google, broadcast 'the football is about to start.""",Corpus5,,,
3.0,"""Hey Google, flip a coin.""",Corpus5,,,
4.0,"""Hey Google, spell artificial intelligence.""",Corpus5,,,
5.0,"""Hey Google, how do you make ketchup?""",Corpus5,,,
6.0,"""Hey Google, play some music from Spotify.""",Corpus5,,,
7.0,"""Hey Google, what are my reminders for this week?""",Corpus5,,,
8.0,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",Corpus5,,,
9.0,"""Hey Google, brighten the office lamp.""",Corpus5,,,
10.0,"""Hey Google, what does an elephant sound like?""",Corpus5,,,
11.0,"""Hey Google, lock the front door.""",Corpus5,,,
12.0,"""Hey Google, read Women and Power.""",Corpus5,,,
13.0,"""Hey Google, turn the living room lights to blue""",Corpus5,,,
14.0,"""Hey Google, call my phone.""",Corpus5,,,
15.0,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Corpus5,,,
16.0,"""Hey Google, play my Evening Jazz playlist.""",Corpus5,,,
17.0,"""Hey Google, did the Liverpool win yesterday?""",Corpus5,,,
18.0,"""Hey Google, sing a song.""",Corpus5,,,
19.0,"""Hey Google, call the nearest coffee shop.""",Corpus5,,,
20.0,"""Hey Google, pause the music.""",Corpus5,,,
1.0,"""Hey Google, open the blinds.""",Corpus6,,,
2.0,"""Hey Google, play some music from Spotify.""",Corpus6,,,
3.0,"""Hey Google, add apples to my shopping list.""",Corpus6,,,
4.0,"""Hey Google, what does my day look like?""",Corpus6,,,
5.0,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Corpus6,,,
6.0,"""Hey Google, where is my first event tomorrow?""",Corpus6,,,
7.0,"""Hey Google, play Money by LISA from Spotify.""",Corpus6,,,
8.0,"""Hey Google, set a timer for 10 (Ten) minutes.""",Corpus6,,,
9.0,"""Hey Google, call the nearest coffee shop.""",Corpus6,,,
10.0,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",Corpus6,,,
11.0,"""Hey Google, set alarm for 8 AM tomorrow.""",Corpus6,,,
12.0,"""Hey Google, stop the music.""",Corpus6,,,
13.0,"""Hey Google, what are my reminders for this week?""",Corpus6,,,
14.0,"""Hey Google, snooze the alarm.""",Corpus6,,,
15.0,"""Hey Google, what is the time?""",Corpus6,,,
16.0,"""Hey Google, pause the music.""",Corpus6,,,
17.0,"""Hey Google, call My mom.""",Corpus6,,,
18.0,"""Hey Google, what is the traffic like on the way to work?""",Corpus6,,,
19.0,"""Hey Google, play my Evening Jazz playlist.""",Corpus6,,,
20.0,"""Hey Google, is my phone connected over Bluetooth?""",Corpus6,,,
1.0,"""Hey Google, play some hip hop.""",Corpus7,,,
2.0,"""Hey Google, skip this track.""",Corpus7,,,
3.0,"""Hey Google, turn on the Bedroom Light.""",Corpus7,,,
4.0,"""Hey Google, read Women and Power.""",Corpus7,,,
5.0,"""Hey Google, call the nearest coffee shop.""",Corpus7,,,
6.0,"""Hey Google, How do you solve this problem?""",Corpus7,,,
7.0,"""Hey Google, how much time is left on this chapter?""",Corpus7,,,
8.0,"""Hey Google, Bluetooth pairing.""",Corpus7,,,
9.0,"""Hey Google, flip a coin.""",Corpus7,,,
10.0,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",Corpus7,,,
11.0,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Corpus7,,,
12.0,"""Hey Google, what is the time?""",Corpus7,,,
13.0,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",Corpus7,,,
14.0,"""Hey Google, when is Walmart open until?""",Corpus7,,,
15.0,"""Hey Google, brighten the office lamp.""",Corpus7,,,
16.0,"""Hey Google, hang up.""",Corpus7,,,
17.0,"""Hey Google, delete my reminder to pick up my dry cleaning.""",Corpus7,,,
18.0,"""Hey Google, call my phone.""",Corpus7,,,
19.0,"""Hey Google, broadcast 'dinner is ready'.""",Corpus7,,,
20.0,"""Hey Google, add apples to my shopping list.""",Corpus7,,,
1.0,"""Hey Google, help me relax.""",Corpus8,,,
2.0,"""Hey Google, sing a song.""",Corpus8,,,
3.0,"""Hey Google, read a bedtime story.""",Corpus8,,,
4.0,"""Hey Google, raise the temperature three degrees.""",Corpus8,,,
5.0,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",Corpus8,,,
6.0,"""Hey Google, do I have any alarms set?""",Corpus8,,,
7.0,"""Hey Google, play Money by LISA from Spotify.""",Corpus8,,,
8.0,"""Hey Google, skip to the next chapter.""",Corpus8,,,
9.0,"""Hey Google, are there any Italian restaurants around here?""",Corpus8,,,
10.0,"""Hey Google, play some hip hop.""",Corpus8,,,
11.0,"""Hey Google, play some music.""",Corpus8,,,
12.0,"""Hey Google, turn on all the switches.""",Corpus8,,,
13.0,"""Hey Google, what's the weather like today?""",Corpus8,,,
14.0,"""Hey Google, Bluetooth pairing.""",Corpus8,,,
15.0,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",Corpus8,,,
16.0,"""Hey Google, how much time is left on this chapter?""",Corpus8,,,
17.0,"""Hey Google, help.""",Corpus8,,,
18.0,"""Hey Google, broadcast 'dinner is ready'.""",Corpus8,,,
19.0,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Corpus8,,,
20.0,"""Hey Google, add apples to my shopping list.""",Corpus8,,,
