Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence,WER,MER,WIL
Participant01,Corpus4,C1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google cancel the alarm for 3 and 5:15,0.375,0.3333333333333333,0.5
Participant01,Corpus5,A2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for seven 5:15 tomorrow morning,0.2,0.2,0.3599999999999999
Participant01,Corpus5,A2,2,"""Hey Google, broadcast 'the football is about to start.""",hey Google broadcast the football is about to start,0.1111111111111111,0.1111111111111111,0.2098765432098766
Participant01,Corpus5,A2,3,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
Participant01,Corpus5,A2,4,"""Hey Google, spell artificial intelligence.""",hey Google spell artificial intelligence,0.0,0.0,0.0
Participant01,Corpus5,A2,5,"""Hey Google, how do you make ketchup?""",hey Google how do you make ketchup,0.0,0.0,0.0
Participant01,Corpus5,A2,6,"""Hey Google, play some music from Spotify.""",hey Google play some music on Spotify,0.14285714285714285,0.14285714285714285,0.26530612244897966
Participant01,Corpus5,A2,7,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week,0.0,0.0,0.0
Participant01,Corpus5,A2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",hey Google stop the music in 15 minutes,0.1111111111111111,0.1111111111111111,0.11111111111111116
Participant01,Corpus5,A2,9,"""Hey Google, brighten the office lamp.""",hey Google brighten the office.,0.16666666666666666,0.16666666666666666,0.16666666666666663
Participant01,Corpus5,A2,10,"""Hey Google, what does an elephant sound like?""",Hey Google what does a dolphin sound like,0.25,0.25,0.4375
Participant01,Corpus5,A2,11,"""Hey Google, lock the front door.""",hey Google,0.6666666666666666,0.6666666666666666,0.6666666666666667
Participant01,Corpus5,A2,12,"""Hey Google, read Women and Power.""",hey Google red women and Power,0.16666666666666666,0.16666666666666666,0.30555555555555547
Participant01,Corpus5,A2,13,"""Hey Google, turn the living room lights to blue""",hey Google turn the living light room light to Blue,0.2222222222222222,0.2,0.28888888888888886
Participant01,Corpus5,A2,14,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
Participant01,Corpus5,A2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set a timer WhatsApp to 20 between,0.5555555555555556,0.5,0.691358024691358
Participant01,Corpus5,A2,16,"""Hey Google, play my Evening Jazz playlist.""",hey Google hey my everything. Cell is,0.5714285714285714,0.5714285714285714,0.8163265306122449
Participant01,Corpus5,A2,17,"""Hey Google, did the Liverpool win yesterday?""",hey Google,0.7142857142857143,0.7142857142857143,0.7142857142857143
Participant01,Corpus5,A2,18,"""Hey Google, sing a song.""",hey Google sing a song,0.0,0.0,0.0
Participant01,Corpus5,A2,19,"""Hey Google, call the nearest coffee shop.""",Hey Google call the nearest coffee shop,0.0,0.0,0.0
Participant01,Corpus5,A2,20,"""Hey Google, pause the music.""",hey Google what's the music,0.4,0.3333333333333333,0.4666666666666667
Participant01,Corpus6,B2,1,"""Hey Google, open the blinds.""",hey Google,0.6,0.6,0.6
Participant01,Corpus6,B2,2,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
Participant01,Corpus6,B2,3,"""Hey Google, add apples to my shopping list.""",hey Google,0.75,0.75,0.75
Participant01,Corpus6,B2,4,"""Hey Google, what does my day look like?""",hey Google what's my day look like,0.125,0.125,0.234375
Participant01,Corpus6,B2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""","hey Google, set the alarm for 12:15",0.375,0.375,0.5535714285714286
Participant01,Corpus6,B2,6,"""Hey Google, where is my first event tomorrow?""",hey Google last night football tomorrow,0.625,0.625,0.8125
Participant01,Corpus6,B2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by this on Spotify,0.25,0.25,0.4375
Participant01,Corpus6,B2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",hey Google set a timer for 10 minutes,0.1111111111111111,0.1111111111111111,0.11111111111111116
Participant01,Corpus6,B2,9,"""Hey Google, call the nearest coffee shop.""",hey Google how did the nearest puppy shop,0.42857142857142855,0.375,0.5535714285714286
Participant01,Corpus6,B2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 12:15 a.m. tomorrow morning,0.2,0.2,0.3599999999999999
Participant01,Corpus6,B2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow,0.0,0.0,0.0
Participant01,Corpus6,B2,12,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
Participant01,Corpus6,B2,13,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week,0.0,0.0,0.0
Participant01,Corpus6,B2,14,"""Hey Google, snooze the alarm.""",hey Google,0.6,0.6,0.6
Participant01,Corpus6,B2,15,"""Hey Google, what is the time?""",hey Google what is the time,0.0,0.0,0.0
Participant01,Corpus6,B2,16,"""Hey Google, pause the music.""",hey Google how's the music,0.4,0.3333333333333333,0.4666666666666667
Participant01,Corpus6,B2,17,"""Hey Google, call My mom.""",hey Google call my mom,0.0,0.0,0.0
Participant01,Corpus6,B2,18,"""Hey Google, what is the traffic like on the way to work?""",hey Google what is the traffic like on the way to work,0.0,0.0,0.0
Participant01,Corpus6,B2,19,"""Hey Google, play my Evening Jazz playlist.""",-,1.0,1.0,1.0
Participant01,Corpus6,B2,20,"""Hey Google, is my phone connected over Bluetooth?""",-,1.0,1.0,1.0
Participant01,Corpus7,D2,1,"""Hey Google, play some hip hop.""",hey Google play some hip hop,0.0,0.0,0.0
Participant01,Corpus7,D2,2,"""Hey Google, skip this track.""",OK Google,0.8,0.8,0.9
Participant01,Corpus7,D2,3,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light,0.0,0.0,0.0
Participant01,Corpus7,D2,4,"""Hey Google, read Women and Power.""",hey Google red women and Power,0.16666666666666666,0.16666666666666666,0.30555555555555547
Participant01,Corpus7,D2,5,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop,0.0,0.0,0.0
Participant01,Corpus7,D2,6,"""Hey Google, How do you solve this problem?""",hey Google how do you spell fifth,0.375,0.375,0.5535714285714286
Participant01,Corpus7,D2,7,"""Hey Google, how much time is left on this chapter?""",hey Google how much time left on this chapter,0.1,0.1,0.09999999999999998
Participant01,Corpus7,D2,8,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing,0.0,0.0,0.0
Participant01,Corpus7,D2,9,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
Participant01,Corpus7,D2,10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",hey Google header 15 lb by 30 minutes,0.6,0.6,0.8
Participant01,Corpus7,D2,11,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google,0.7777777777777778,0.7777777777777778,0.7777777777777778
Participant01,Corpus7,D2,12,"""Hey Google, what is the time?""",hey Google what is the time,0.0,0.0,0.0
Participant01,Corpus7,D2,13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hey Google remember that I left the factory,0.46153846153846156,0.46153846153846156,0.5288461538461539
Participant01,Corpus7,D2,14,"""Hey Google, when is Walmart open until?""",hey Google take me to Walmart,0.7142857142857143,0.7142857142857143,0.9047619047619048
Participant01,Corpus7,D2,15,"""Hey Google, brighten the office lamp.""",hey Google,0.6666666666666666,0.6666666666666666,0.6666666666666667
Participant01,Corpus7,D2,16,"""Hey Google, hang up.""",hey Google,0.5,0.5,0.5
Participant01,Corpus7,D2,17,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning,0.0,0.0,0.0
Participant01,Corpus7,D2,18,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
Participant01,Corpus7,D2,19,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast,0.5,0.5,0.5
Participant01,Corpus7,D2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list,0.0,0.0,0.0
Participant01,Corpus8,C2,1,"""Hey Google, help me relax.""",hey Google tell me a light,0.6,0.5,0.7
Participant01,Corpus8,C2,2,"""Hey Google, sing a song.""",hey Google sing a song,0.0,0.0,0.0
Participant01,Corpus8,C2,3,"""Hey Google, read a bedtime story.""",Hey Google read a bedtime story,0.0,0.0,0.0
Participant01,Corpus8,C2,4,"""Hey Google, raise the temperature three degrees.""",hey Google set the temperature to decrease,0.42857142857142855,0.42857142857142855,0.6734693877551021
Participant01,Corpus8,C2,5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 3:15 a.m. tomorrow morning,0.2,0.2,0.3599999999999999
Participant01,Corpus8,C2,6,"""Hey Google, do I have any alarms set?""",hey Google do I have any alarm set,0.125,0.125,0.234375
Participant01,Corpus8,C2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by 45,0.375,0.375,0.47916666666666663
Participant01,Corpus8,C2,8,"""Hey Google, skip to the next chapter.""",hey Google skip to the next stop.,0.14285714285714285,0.14285714285714285,0.26530612244897966
Participant01,Corpus8,C2,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurant around here,0.1111111111111111,0.1111111111111111,0.2098765432098766
Participant01,Corpus8,C2,10,"""Hey Google, play some hip hop.""",hey Google play some hip hop,0.0,0.0,0.0
Participant01,Corpus8,C2,11,"""Hey Google, play some music.""",hey Google play some music,0.0,0.0,0.0
Participant01,Corpus8,C2,12,"""Hey Google, turn on all the switches.""",hey Google turn on all the 3 set,0.2857142857142857,0.25,0.3571428571428572
Participant01,Corpus8,C2,13,"""Hey Google, what's the weather like today?""",hey Google what's the weather like today,0.0,0.0,0.0
Participant01,Corpus8,C2,14,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing,0.0,0.0,0.0
Participant01,Corpus8,C2,15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",hey Google set the kitchen light to 15%,0.3333333333333333,0.3333333333333333,0.5
Participant01,Corpus8,C2,16,"""Hey Google, how much time is left on this chapter?""",OK Google how much time is left on this circus,0.2,0.2,0.3599999999999999
Participant01,Corpus8,C2,17,"""Hey Google, help.""",hey Google help,0.0,0.0,0.0
Participant01,Corpus8,C2,18,"""Hey Google, broadcast 'dinner is ready'.""",hey Google back.,0.6666666666666666,0.6666666666666666,0.7777777777777778
Participant01,Corpus8,C2,19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google and set the alarm for 35 15,0.5,0.4444444444444444,0.6527777777777778
Participant01,Corpus8,C2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list,0.0,0.0,0.0
Participant02,Corpus1,B1,1,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story,0.0,0.0,0.0
Participant02,Corpus1,B1,2,"""Hey Google, did the Liverpool win yesterday?""",hello Google,0.8571428571428571,0.8571428571428571,0.9285714285714286
Participant02,Corpus1,B1,3,"""Hey Google, redi-al.""",Ok Google redial,0.3333333333333333,0.3333333333333333,0.5555555555555556
Participant02,Corpus1,B1,4,"""Hey Google, call the nearest coffee shop.""",OK Google call the copy shop,0.42857142857142855,0.42857142857142855,0.6190476190476191
Participant02,Corpus1,B1,5,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
Participant02,Corpus1,B1,6,"""Hey Google, broadcast 'wake everybody up'.""",hey Google broadcast work everybody app,0.3333333333333333,0.3333333333333333,0.5555555555555556
Participant02,Corpus1,B1,7,"""Hey Google, dim the living room lights.""",hi Google,0.8571428571428571,0.8571428571428571,0.9285714285714286
Participant02,Corpus1,B1,8,"""Hey Google, broadcast 'dinner is ready'.""",all Google products,0.8333333333333334,0.8333333333333334,0.9444444444444444
Participant02,Corpus1,B1,9,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on bedroom light,0.14285714285714285,0.14285714285714285,0.1428571428571429
Participant02,Corpus1,B1,10,"""Hey Google, broadcast 'time to leave for school'.""",a Google broadcast,0.75,0.75,0.8333333333333334
Participant02,Corpus1,B1,11,"""Hey Google, stop.""",hi Google.,0.6666666666666666,0.6666666666666666,0.8333333333333334
Participant02,Corpus1,B1,12,"""Hey Google, play music on all the downstairs speakers.""",Hello Google play music,0.6666666666666666,0.6666666666666666,0.75
Participant02,Corpus1,B1,13,"""Hey Google, play some hip hop.""",hello Google,0.8333333333333334,0.8333333333333334,0.9166666666666666
Participant02,Corpus1,B1,14,"""Hey Google, snooze the alarm.""",hello Google,0.8,0.8,0.9
Participant02,Corpus1,B1,15,"""Hey Google, what does an elephant sound like?""",hello Google,0.875,0.875,0.9375
Participant02,Corpus1,B1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""","hey Google remember that I left a spare key in the kitchen, port",0.23076923076923078,0.23076923076923078,0.40828402366863903
Participant02,Corpus1,B1,17,"""Hey Google, play Batman on TV.""",a bun Bo,1.0,1.0,1.0
Participant02,Corpus1,B1,18,"""Hey Google, what is the French word for grapefruit?""",hello Google what is the font word for Kirkwood,0.3333333333333333,0.3333333333333333,0.5555555555555556
Participant02,Corpus1,B1,19,"""Hey Google, help.""",a Google hub,0.6666666666666666,0.6666666666666666,0.8888888888888888
Participant02,Corpus1,B1,20,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for the day,0.2222222222222222,0.2222222222222222,0.3950617283950617
Participant02,Corpus2,A1,1,"""Hey Google, what does an elephant sound like?""",Hey Google what does an elephant sound like,0.0,0.0,0.0
Participant02,Corpus2,A1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 8 a.m. tomorrow to take my lunch into work,0.2857142857142857,0.26666666666666666,0.38265306122448983
Participant02,Corpus2,A1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
Participant02,Corpus2,A1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa from Spotify,0.0,0.0,0.0
Participant02,Corpus2,A1,5,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
Participant02,Corpus2,A1,6,"""Hey Google, read Women and Power.""",hey Google read women and Power,0.0,0.0,0.0
Participant02,Corpus2,A1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the back room,0.25,0.2222222222222222,0.3194444444444444
Participant02,Corpus2,A1,8,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story,0.0,0.0,0.0
Participant02,Corpus2,A1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify,0.0,0.0,0.0
Participant02,Corpus2,A1,10,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees,0.14285714285714285,0.14285714285714285,0.26530612244897966
Participant02,Corpus2,A1,11,"""Hey Google, hang up.""",hey Google hang up,0.0,0.0,0.0
Participant02,Corpus2,A1,12,"""Hey Google, broadcast 'time to leave for school'.""",Hey Google broadcast time to leave for school,0.125,0.125,0.234375
Participant02,Corpus2,A1,13,"""Hey Google, brighten the office lamp.""",hey Google brighten the office line,0.16666666666666666,0.16666666666666666,0.30555555555555547
Participant02,Corpus2,A1,14,"""Hey Google, what is today's headlines?""",hey Google what's today's headlines,0.0,0.0,0.0
Participant02,Corpus2,A1,15,"""Hey Google, turn on the Bedroom Light.""",hey Google where did I put the spare key,0.8571428571428571,0.6666666666666666,0.8571428571428572
Participant02,Corpus2,A1,16,"""Hey Google, where did I put the spare keys?""",hey Google where did I put in Spanish keys,0.2222222222222222,0.2222222222222222,0.3950617283950617
Participant02,Corpus2,A1,17,"""Hey Google, redial.""",hey Google redial,0.0,0.0,0.0
Participant02,Corpus2,A1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurants around here,0.0,0.0,0.0
Participant02,Corpus2,A1,19,"""Hey Google, call my phone.""",hey Google call my phone,0.0,0.0,0.0
Participant02,Corpus2,A1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google do I have anything scheduled for Friday,0.0,0.0,0.0
Participant02,Corpus3,C1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Hey Google set the thermostat to 20 degrees,0.1111111111111111,0.1111111111111111,0.11111111111111116
Participant02,Corpus3,C1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready,0.16666666666666666,0.16666666666666666,0.30555555555555547
Participant02,Corpus3,C1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7:15 a.m. tomorrow morning,0.2,0.2,0.3599999999999999
Participant02,Corpus3,C1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning,0.0,0.0,0.0
Participant02,Corpus3,C1,5,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter,0.0,0.0,0.0
Participant02,Corpus3,C1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday,0.0,0.0,0.0
Participant02,Corpus3,C1,7,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain,0.0,0.0,0.0
Participant02,Corpus3,C1,8,"""Hey Google, sing a song.""",hey Google sing a song,0.0,0.0,0.0
Participant02,Corpus3,C1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here,0.0,0.0,0.0
Participant02,Corpus3,C1,10,"""Hey Google, start the school day""",hey Google start at 4 today,0.5,0.5,0.75
